127.0.0.1 - - [02/Feb/2024:19:25:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:26:16 +0530] "GET /NumberGame/gameOver.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:59:39 +0530] "GET /NumberGame/gameOver.jsp HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:59:43 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:59:47 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:59:47 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:59:52 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:59:52 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:59:55 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:19:59:55 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:26 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:30 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:30 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:32 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:32 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:35 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:35 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:39 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:39 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:42 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:42 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:44 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:44 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:49 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:49 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:53 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:53 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1267
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:56 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:09:56 +0530] "GET /NumberGame/gameOver.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:11:20 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:11:22 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:11:33 +0530] "GET /NumberGame/ HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:11:55 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:13:35 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:14:46 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1259
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:15:09 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:15:32 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:16:38 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:16:58 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:17:15 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:17:21 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:17:22 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:17:32 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:17:33 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:17:34 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:17:38 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:17:38 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:17:38 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:17:51 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:17:52 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:17:52 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:17:52 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:10 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:20 +0530] "GET /NumberGame/ HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:35 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:41 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:41 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:44 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:44 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:46 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:46 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:48 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:48 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:50 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:50 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:52 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:52 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:54 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:54 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:55 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:55 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:59 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:18:59 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:19:01 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:19:01 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:19:03 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:19:03 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:19:05 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:19:05 +0530] "GET /NumberGame/gameOver.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:19:33 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:19:35 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:19:36 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:19:36 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:19:36 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:19:36 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:20:12 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:23:21 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:23:22 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:23:22 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:23:22 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:23:22 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:23:23 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:23:23 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:23:23 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:23:35 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:23:35 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:23:35 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:23:36 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:25:14 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:25:14 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:25:17 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:25:17 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:25:20 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:25:20 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:25:23 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:25:23 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:30:15 +0530] "GET /NumberGame/ HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:30:40 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:30:48 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:30:48 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:30:51 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:30:51 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:30:53 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:30:53 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:30:55 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:30:55 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:30:58 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:30:58 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:31:00 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:31:00 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:31:04 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:31:04 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:31:06 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:31:06 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:31:09 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:31:09 +0530] "GET /NumberGame/GuessingGameServlet HTTP/1.1" 200 1334
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:31:12 +0530] "POST /NumberGame/GuessingGameServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Feb/2024:20:31:12 +0530] "GET /NumberGame/gameOver.jsp HTTP/1.1" 200 485
